SMILES,ID,r_exp_dg
CN1C(=O)[C@](c2cccc(-c3cccc(Cl)c3)c2)(c2ncccn2)[NH+]=C1N,CAT-13n,-8.543
CN1C(=O)[C@](c2cccc(-c3cccc(Cl)c3)c2)(C2CCC2)[NH+]=C1N,CAT-13e,-9.963
CN1C(=O)[C@@](c2ccccc2)(c2cccc(-c3ccccc3)c2)[NH+]=C1N,CAT-4a,-7.933
Cc1cncc(-c2cccc([C@@]3(c4ccccc4)[NH+]=C(N)N(C)C3=O)c2)c1,CAT-4m,-9.153
COc1cccc(-c2cccc([C@@]3(C4CC4)[NH+]=C(N)N(C)C3=O)c2)c1,CAT-17b,-10.023
CN1C(=O)[C@](c2cccc(-c3cccc(Cl)c3)c2)(c2ccccn2)[NH+]=C1N,CAT-13j,-8.733
CN1C(=O)[C@](c2cccc(-c3cccc(Cl)c3)c2)(C2CC2)[NH+]=C1N,CAT-13d,-10.473
CC[C@]1(c2cccc(-c3cccc(Cl)c3)c2)[NH+]=C(N)N(C)C1=O,CAT-13b,-9.123
CN1C(=O)[C@@](C)(c2cccc(-c3cccc(Cl)c3)c2)[NH+]=C1N,CAT-13a,-8.843
CN1C(=O)[C@](c2cccc(-c3cccc(Cl)c3)c2)(C2(C)CC2)[NH+]=C1N,CAT-13h,-9.633
CN1C(=O)[C@](c2cccc(-c3cccc(Cl)c3)c2)(c2nccs2)[NH+]=C1N,CAT-13o,-8.543
CN1C(=O)[C@](c2cccc(-c3cccc(Cl)c3)c2)(C2CCCCC2)[NH+]=C1N,CAT-13g,-9.093
CN1C(=O)[C@@](c2ccccc2)(c2cccc(-c3ccncc3)c2)[NH+]=C1N,CAT-4k,-7.853
CN1C(=O)[C@](c2cccc(-c3cncc(F)c3)c2)(C2CC2)[NH+]=C1N,CAT-17g,-9.743
CN1C(=O)[C@@](c2ccccc2)(c2cccc(-c3cnccn3)c2)[NH+]=C1N,CAT-4l,-9.343
CN1C(=O)[C@@](c2ccccc2)(c2cccc(-c3cccnc3)c2)[NH+]=C1N,CAT-4j,-9.023
CN1C(=O)[C@@](c2ccccc2)(c2cccc(-c3cncc(C#N)c3)c2)[NH+]=C1N,CAT-4n,-9.093
CN1C(=O)[C@@](CC2CC2)(c2cccc(-c3cccc(Cl)c3)c2)[NH+]=C1N,CAT-13i,-9.273
CN1C(=O)[C@](c2cccc(-c3cncc(C#N)c3)c2)(C2CC2)[NH+]=C1N,CAT-17f,-9.423
CN1C(=O)[C@@](c2ccccc2)(c2cccc(-c3cncc(Cl)c3)c2)[NH+]=C1N,CAT-4p,-10.083
CC(C)[C@]1(c2cccc(-c3cccc(Cl)c3)c2)[NH+]=C(N)N(C)C1=O,CAT-13c,-9.323
CC#Cc1cncc(-c2cccc([C@@]3(C4CC4)[NH+]=C(N)N(C)C3=O)c2)c1,CAT-24,-11.35
CN1C(=O)[C@@](c2ccccc2)(c2cccc(-c3ccccn3)c2)[NH+]=C1N,CAT-4i,-8.263
COc1ccc(-c2cccc([C@@]3(c4ccccc4)[NH+]=C(N)N(C)C3=O)c2)cc1,CAT-4c,-7.853
Cc1cncc(-c2cccc([C@@]3(C4CC4)[NH+]=C(N)N(C)C3=O)c2)c1,CAT-17i,-9.473
CN1C(=O)[C@@](c2cccnc2)(c2cccc(-c3cccc(Cl)c3)c2)[NH+]=C1N,CAT-13k,-9.703
CN1C(=O)[C@](c2cccc(-c3cc(Cl)cc(Cl)c3)c2)(C2CC2)[NH+]=C1N,CAT-17a,-10.733
CN1C(=O)[C@](c2cccc(-c3cccc(C#N)c3)c2)(C2CC2)[NH+]=C1N,CAT-17c,-9.863
CN1C(=O)[C@@](c2ccccc2)(c2cccc(-c3cncc(F)c3)c2)[NH+]=C1N,CAT-4o,-9.383
CN1C(=O)[C@](c2cccc(-c3cccnc3)c2)(C2CC2)[NH+]=C1N,CAT-17d,-9.423
COc1cccc(-c2cccc([C@@]3(c4ccccc4)[NH+]=C(N)N(C)C3=O)c2)c1,CAT-4b,-9.633
CN1C(=O)[C@](c2cccc(-c3cccc(Cl)c3)c2)(C2CCCC2)[NH+]=C1N,CAT-13f,-9.093
CCOc1cccc(-c2cccc([C@@]3(c4ccccc4)[NH+]=C(N)N(C)C3=O)c2)c1,CAT-4d,-9.113
CN1C(=O)[C@@](c2cncnc2)(c2cccc(-c3cccc(Cl)c3)c2)[NH+]=C1N,CAT-13m,-8.763
CN1C(=O)[C@](c2cccc(-c3cncc(Cl)c3)c2)(C2CC2)[NH+]=C1N,CAT-17h,-10.333
COc1cncc(-c2cccc([C@@]3(C4CC4)[NH+]=C(N)N(C)C3=O)c2)c1,CAT-17e,-10.023
