SMILES,ID,r_exp_dg
Brc1cccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)c1,17,-7.04
CNS(=O)(=O)c1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1,28,-11.11
CSc1cccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)c1,22,-7.86
CS(=O)(=O)c1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1,30,-9.81
Clc1cccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)c1,1h1r,-7.67
NS(=O)(=O)c1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1,1h1s,-11.25
COc1cccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)c1,21,-7.83
NC(=O)c1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1,1oiy,-9.79
NS(=O)(=O)c1cccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)c1,1oiu,-9.08
C[S@](=O)c1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1,31,-9.54
CN(C)S(=O)(=O)c1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1,29,-9.88
COc1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1,26,-8.43
Oc1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1,1oi9,-9.74
OCc1cccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)c1,20,-8.72
COc1cc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)ccc1S(N)(=O)=O,32,-9.75
c1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1,1h1q,-8.18
