SMILES,ID,r_exp_dg
O=C([O-])c1sc2ccccc2c1CCCOc1cccc2ccccc12,23,-8.83
O=C([O-])c1sc2ccccc2c1CCCOc1cccc2ccccc12,23 flip,-8.83
O=C([O-])c1oc2ccccc2c1CCCOc1cccc2ccccc12,26,-8.24
O=C([O-])c1oc2ccccc2c1CCCOc1cccc2ccccc12,26 flip,-8.24
O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccccc1,27,-6.12
Cc1ccccc1OCCCc1c(C(=O)[O-])[nH]c2ccccc12,28,-6.62
Cc1ccccc1OCCCc1c(C(=O)[O-])[nH]c2ccccc12,28 flip,-6.62
O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccccc1C(F)(F)F,29,-6.94
O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccccc1C(F)(F)F,29 flip,-6.94
Cc1cccc(OCCCc2c(C(=O)[O-])[nH]c3ccccc23)c1,30,-7.85
Cc1cccc(OCCCc2c(C(=O)[O-])[nH]c3ccccc23)c1,30 flip,-7.85
O=C([O-])c1[nH]c2ccccc2c1CCCOc1cccc(C(F)(F)F)c1,31,-7.92
O=C([O-])c1[nH]c2ccccc2c1CCCOc1cccc(C(F)(F)F)c1,31 flip,-7.92
Cc1ccc(OCCCc2c(C(=O)[O-])[nH]c3ccccc23)cc1,32,-6.58
O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccc(Cl)cc1,33,-6.88
O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccc(C(F)(F)F)cc1,34,-6.87
Cc1cc(OCCCc2c(C(=O)[O-])[nH]c3ccccc23)ccc1Cl,35,-8.81
Cc1cc(OCCCc2c(C(=O)[O-])[nH]c3ccccc23)ccc1Cl,35 flip,-8.81
CCc1cc(OCCCc2c(C(=O)[O-])[nH]c3ccccc23)ccc1Cl,36,-8.18
CCc1cc(OCCCc2c(C(=O)[O-])[nH]c3ccccc23)ccc1Cl,36 flip,-8.18
Cc1cc(OCCCc2c(C(=O)[O-])[nH]c3ccccc23)cc(C)c1Cl,37,-8.95
O=C([O-])c1[nH]c2ccccc2c1CCCOc1cccc(-c2ccccc2)c1,38,-7.02
O=C([O-])c1[nH]c2ccccc2c1CCCOc1cccc(-c2ccccc2)c1,38 flip,-7.02
O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccc(-c2ccccc2)cc1,39,-7.03
O=C([O-])c1[nH]c2ccccc2c1CCCOc1cccc(Oc2ccccc2)c1,40,-7.25
O=C([O-])c1[nH]c2ccccc2c1CCCOc1cccc(Oc2ccccc2)c1,40 flip,-7.25
O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccc(Oc2ccccc2)cc1,41,-7.13
O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccc(Oc2ccccc2)cc1,41 flip,-7.13
O=C([O-])c1[nH]c2ccccc2c1CCCOc1cccc2ccccc12,42,-8.9
O=C([O-])c1[nH]c2ccccc2c1CCCOc1cccc2ccccc12,42 flip,-8.9
O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccc2ccccc2c1,43,-7.03
O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccc2ccccc2c1,43 flip,-7.03
O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccc(Cl)c2ccccc12,44,-8.67
O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccc(Cl)c2ccccc12,44 flip,-8.67
O=C([O-])c1[nH]c2ccccc2c1CCCOc1cccc2c1CCCC2,45,-8.95
O=C([O-])c1[nH]c2ccccc2c1CCCOc1cccc2c1CCCC2,45 flip,-8.95
O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccc2c(c1)CCC2,46,-7.6
O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccc2c(c1)CCC2,46 flip,-7.6
O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccc2ncccc2c1,47,-5.78
O=C([O-])c1[nH]c2ccccc2c1CCCOc1ccc2ncccc2c1,47 flip,-5.78
O=C([O-])c1[nH]c2ccccc2c1CCCOc1cccc2[nH]ccc12,48,-6.66
O=C([O-])c1[nH]c2ccccc2c1CCCOc1cccc2[nH]ccc12,48 flip,-6.66
Cc1cc(OCCCc2c(C(=O)[O-])[nH]c3cccc(Cl)c23)ccc1Cl,49,-8.36
Cc1cc(OCCCc2c(C(=O)[O-])[nH]c3cccc(Cl)c23)ccc1Cl,49 flip,-8.36
Cc1cc(OCCCc2c(C(=O)[O-])[nH]c3cccc(Cl)c23)cc(C)c1Cl,50,-9.33
O=C([O-])c1[nH]c2cccc(Cl)c2c1CCCOc1cccc2ccccc12,51,-8.45
O=C([O-])c1[nH]c2cccc(Cl)c2c1CCCOc1cccc2ccccc12,51 flip,-8.45
Cc1cc(OCCCc2c(C(=O)[O-])[nH]c3cc(Cl)ccc23)ccc1Cl,52,-9.23
Cc1cc(OCCCc2c(C(=O)[O-])[nH]c3cc(Cl)ccc23)ccc1Cl,52 flip,-9.23
Cc1cc(OCCCc2c(C(=O)[O-])[nH]c3cc(Cl)ccc23)cc(C)c1Cl,53,-9.96
O=C([O-])c1[nH]c2cc(Cl)ccc2c1CCCOc1cccc2ccccc12,54,-9.78
O=C([O-])c1[nH]c2cc(Cl)ccc2c1CCCOc1cccc2ccccc12,54 flip,-9.78
Cc1cc(OCCCc2c(C(=O)[O-])n(C)c3ccccc23)cc(C)c1Cl,56,-9.26
Cn1c(C(=O)[O-])c(CCCOc2cccc3ccccc23)c2ccccc21,57,-9.04
Cn1c(C(=O)[O-])c(CCCOc2cccc3ccccc23)c2ccccc21,57 flip,-9.04
Cc1cc(OCCCc2c(C(=O)[O-])n(C)c3cc(Cl)ccc23)cc(C)c1Cl,58,-9.41
Cc1cc(OCCCc2c(C(=O)[O-])sc3ccccc23)cc(C)c1Cl,60,-8.92
Cc1cc(OCCCc2c(C(=O)[O-])sc3cccc(Cl)c23)cc(C)c1Cl,61,-8.08
O=C([O-])c1sc2cccc(Cl)c2c1CCCOc1cccc2ccccc12,62,-7.96
O=C([O-])c1sc2cccc(Cl)c2c1CCCOc1cccc2ccccc12,62 flip,-7.96
Cc1cc(OCCCc2c(C(=O)[O-])sc3cc(Cl)ccc23)cc(C)c1Cl,63,-9.06
O=C([O-])c1sc2cc(Cl)ccc2c1CCCOc1cccc2ccccc12,64,-9.5
O=C([O-])c1sc2cc(Cl)ccc2c1CCCOc1cccc2ccccc12,64 flip,-9.5
