SMILES,ID,r_exp_dg
O=C([O-])COc1c(C(=O)[O-])sc(-c2cccc(NC3CCOCC3)c2)c1Br,23477,-8.85
O=C([O-])COc1cc(-c2cccc(NC3CCN(S(=O)(=O)Cc4ccccc4)CC3)c2)sc1C(=O)[O-],23484,-7.75
COc1cccc(-c2sc(C(=O)[O-])c(OCC(=O)[O-])c2Br)c1,23467,-7.34
O=C([O-])COc1c(C(=O)[O-])sc(-c2cccc(NC3CCN(S(=O)(=O)Cc4ccccc4)CC3)c2)c1Br,20667,-11.42
O=C([O-])COc1c(C(=O)[O-])sc(-c2cccc(NC(=O)c3ccccc3)c2)c1Br,23469,-7.72
O=C([O-])COc1c(C(=O)[O-])sc(-c2cccc(NC3CCN(S(=O)(=O)c4ccccc4)CC3)c2)c1Br,23483,-9.87
COC(=O)N1CCC(Nc2cccc(-c3sc(C(=O)[O-])c(OCC(=O)[O-])c3Br)c2)CC1,23480,-8.72
O=C([O-])COc1c(C(=O)[O-])sc(-c2cccc(NCC3CCCCC3)c2)c1Br,23474,-9.11
O=C([O-])COc1c(C(=O)[O-])sc(-c2cccc(OCc3ccccc3)c2)c1Br,23473,-8.39
COC(=O)Nc1cccc(-c2sc(C(=O)[O-])c(OCC(=O)[O-])c2Br)c1,23471,-7.75
O=C([O-])COc1c(C(=O)[O-])sc(-c2cccc(NCc3ccccc3)c2)c1Br,20669,-8.61
O=C([O-])COc1c(C(=O)[O-])sc(-c2cccc(NC3CCCCCC3)c2)c1Br,23476,-9.41
Nc1cccc(-c2sc(C(=O)[O-])c(OCC(=O)[O-])c2Br)c1,23466,-7.85
O=C([O-])COc1c(C(=O)[O-])sc(-c2cccc(NS(=O)(=O)c3ccc(F)cc3)c2)c1Br,23472,-8.65
CS(=O)(=O)N1CCC(Nc2cccc(-c3sc(C(=O)[O-])c(OCC(=O)[O-])c3Br)c2)CC1,23482,-10.01
O=C([O-])COc1c(C(=O)[O-])sc(-c2cccc(NC3CCN(S(=O)(=O)Cc4ccccc4)CC3)c2)c1Cl,23486,-12.47
CC(C)NC(=O)Nc1cccc(-c2sc(C(=O)[O-])c(OCC(=O)[O-])c2Br)c1,23470,-7.72
CCC(=O)Nc1cccc(-c2sc(C(=O)[O-])c(OCC(=O)[O-])c2Br)c1,23468,-7.75
Cc1c(-c2cccc(NC3CCN(S(=O)(=O)Cc4ccccc4)CC3)c2)sc(C(=O)[O-])c1OCC(=O)[O-],23485,-11.01
CC1(C)CC(Nc2cccc(-c3sc(C(=O)[O-])c(OCC(=O)[O-])c3Br)c2)CC(C)(C)C1,23330,-10.13
O=C([O-])COc1c(C(=O)[O-])sc(-c2cccc(NC3CCCCC3)c2)c1Br,20670,-9.08
CC(=O)N1CCC(Nc2cccc(-c3sc(C(=O)[O-])c(OCC(=O)[O-])c3Br)c2)CC1,23479,-9.14
O=C([O-])COc1c(C(=O)[O-])sc(-c2cccc(NC3CCCC3)c2)c1Br,23475,-8.72
